gameid,trialNum,repetitionNum,intendedName,contents,correct,doc,unigrams,bigrams,trigrams,pos,numWords,NOUNcount,DETcount,PRONcount,VERBcount,ADJcount,CCONJcount,ADPcount,ADVcount,AUXcount,SCONJcount,NUMcount
0057-414228f8-c268-40d6-9349-b35df4f080d9,11,1,L,"looks like shadow of a person on their knees facing right, bottom half makes lightning bolt",1,"looks like shadow of a person on their knees facing right, bottom half makes lightning bolt","[look, like, shadow, of, a, person, on, -PRON-, knee, face, right, bottom, half, make, lightning, bolt]","[look like, like shadow, shadow of, of a, a person, person on, on -PRON-, -PRON- knee, knee face, face right, right bottom, bottom half, half make, make lightning, lightning bolt]","[look like shadow, like shadow of, shadow of a, of a person, a person on, person on -PRON-, on -PRON- knee, -PRON- knee face, knee face right, face right bottom, right bottom half, bottom half make, half make lightning, make lightning bolt]","['VERB', 'SCONJ', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'PRON', 'NOUN', 'VERB', 'NOUN', 'ADJ', 'NOUN', 'VERB', 'NOUN', 'NOUN']",16,7,1,1,3,1,0,2,0,0,1,0
0057-414228f8-c268-40d6-9349-b35df4f080d9,12,1,F,"same graduate sitting down with knees up and feet on ground, facing left, looking down at feet",0,"same graduate sitting down with knees up and feet on ground, facing left, looking down at feet","[same, graduate, sit, down, with, knee, up, and, foot, on, ground, face, leave, look, down, at, foot]","[same graduate, graduate sit, sit down, down with, with knee, knee up, up and, and foot, foot on, on ground, ground face, face leave, leave look, look down, down at, at foot]","[same graduate sit, graduate sit down, sit down with, down with knee, with knee up, knee up and, up and foot, and foot on, foot on ground, on ground face, ground face leave, face leave look, leave look down, look down at, down at foot]","['ADJ', 'NOUN', 'VERB', 'ADP', 'ADP', 'NOUN', 'ADV', 'CCONJ', 'NOUN', 'ADP', 'NOUN', 'VERB', 'VERB', 'VERB', 'ADP', 'ADP', 'NOUN']",17,5,0,0,4,1,1,5,1,0,0,0
0057-414228f8-c268-40d6-9349-b35df4f080d9,13,2,J,"first diamond on top of state shape again, straight line on top",1,"first diamond on top of state shape again, straight line on top","[first, diamond, on, top, of, state, shape, again, straight, line, on, top]","[first diamond, diamond on, on top, top of, of state, state shape, shape again, again straight, straight line, line on, on top]","[first diamond on, diamond on top, on top of, top of state, of state shape, state shape again, shape again straight, again straight line, straight line on, line on top]","['ADJ', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'NOUN', 'ADV', 'ADJ', 'NOUN', 'ADP', 'NOUN']",12,6,0,0,0,2,0,3,1,0,0,0
0057-414228f8-c268-40d6-9349-b35df4f080d9,14,2,F,graduate sitting and looking down from 2 questions ago,1,graduate sitting and looking down from 2 questions ago,"[graduate, sit, and, look, down, from, question, ago]","[graduate sit, sit and, and look, look down, down from, from question, question ago]","[graduate sit and, sit and look, and look down, look down from, down from question, from question ago]","['NOUN', 'VERB', 'CCONJ', 'VERB', 'ADP', 'ADP', 'NUM', 'NOUN', 'ADV']",9,2,0,0,2,0,1,2,1,0,0,1
0057-414228f8-c268-40d6-9349-b35df4f080d9,15,2,A,spy vs spy,1,spy vs spy,"[spy, vs, spy]","[spy vs, vs spy]",[spy vs spy],"['PROPN', 'ADP', 'NOUN']",3,2,0,0,0,0,0,1,0,0,0,0
0057-414228f8-c268-40d6-9349-b35df4f080d9,16,2,D,"graduate at lectern, yes",1,"graduate at lectern, yes","[graduate, at, lectern, yes]","[graduate at, at lectern, lectern yes]","[graduate at lectern, at lectern yes]","['NOUN', 'ADP', 'NOUN', 'INTJ']",4,2,0,0,0,0,0,1,0,0,0,0
0057-414228f8-c268-40d6-9349-b35df4f080d9,17,2,E,rabbit ears lightning bolt base looking right,1,rabbit ears lightning bolt base looking right,"[rabbit, ear, lightning, bolt, base, look, right]","[rabbit ear, ear lightning, lightning bolt, bolt base, base look, look right]","[rabbit ear lightning, ear lightning bolt, lightning bolt base, bolt base look, base look right]","['NOUN', 'NOUN', 'NOUN', 'NOUN', 'NOUN', 'VERB', 'ADV']",7,5,0,0,1,0,0,0,1,0,0,0
0057-414228f8-c268-40d6-9349-b35df4f080d9,18,2,G,seal with ball - diamond on left strange hook shape on right,1,seal with ball - diamond on left strange hook shape on right,"[seal, with, ball, diamond, on, leave, strange, hook, shape, on, right]","[seal with, with ball, ball diamond, diamond on, on leave, leave strange, strange hook, hook shape, shape on, on right]","[seal with ball, with ball diamond, ball diamond on, diamond on leave, on leave strange, leave strange hook, strange hook shape, hook shape on, shape on right]","['VERB', 'ADP', 'NOUN', 'NOUN', 'ADP', 'VERB', 'ADJ', 'NOUN', 'NOUN', 'ADP', 'NOUN']",11,5,0,0,2,1,0,3,0,0,0,0
0057-414228f8-c268-40d6-9349-b35df4f080d9,19,2,B,"mouse from beginning, mountain base",1,"mouse from beginning, mountain base","[mouse, from, beginning, mountain, base]","[mouse from, from beginning, beginning mountain, mountain base]","[mouse from beginning, from beginning mountain, beginning mountain base]","['NOUN', 'ADP', 'NOUN', 'NOUN', 'NOUN']",5,4,0,0,0,0,0,1,0,0,0,0
0057-414228f8-c268-40d6-9349-b35df4f080d9,20,2,H,indiana with diamond in top,1,indiana with diamond in top,"[indiana, with, diamond, in, top]","[indiana with, with diamond, diamond in, in top]","[indiana with diamond, with diamond in, diamond in top]","['PROPN', 'ADP', 'NOUN', 'ADP', 'NOUN']",5,3,0,0,0,0,0,2,0,0,0,0
0057-414228f8-c268-40d6-9349-b35df4f080d9,21,2,C,preacher,1,preacher,[preacher],[],[],['NOUN'],1,1,0,0,0,0,0,0,0,0,0,0
0057-414228f8-c268-40d6-9349-b35df4f080d9,22,2,K,dog with ball,0,dog with ball,"[dog, with, ball]","[dog with, with ball]",[dog with ball],"['NOUN', 'ADP', 'NOUN']",3,2,0,0,0,0,0,1,0,0,0,0
0057-414228f8-c268-40d6-9349-b35df4f080d9,23,2,L,shadow person lighting bolt base,1,shadow person lighting bolt base,"[shadow, person, lighting, bolt, base]","[shadow person, person lighting, lighting bolt, bolt base]","[shadow person lighting, person lighting bolt, lighting bolt base]","['NOUN', 'NOUN', 'NOUN', 'NOUN', 'NOUN']",5,5,0,0,0,0,0,0,0,0,0,0
0057-414228f8-c268-40d6-9349-b35df4f080d9,24,2,I,ice skater,1,ice skater,"[ice, skater]",[ice skater],[],"['NOUN', 'NOUN']",2,2,0,0,0,0,0,0,0,0,0,0
0057-414228f8-c268-40d6-9349-b35df4f080d9,25,3,B,"mouse, repeat mouse mountain base",1,"mouse, repeat mouse mountain base","[mouse, repeat, mouse, mountain, base]","[mouse repeat, repeat mouse, mouse mountain, mountain base]","[mouse repeat mouse, repeat mouse mountain, mouse mountain base]","['PROPN', 'VERB', 'PROPN', 'PROPN', 'NOUN']",5,4,0,0,1,0,0,0,0,0,0,0
0057-414228f8-c268-40d6-9349-b35df4f080d9,26,3,J,state with flat top diamond,1,state with flat top diamond,"[state, with, flat, top, diamond]","[state with, with flat, flat top, top diamond]","[state with flat, with flat top, flat top diamond]","['NOUN', 'ADP', 'ADJ', 'ADJ', 'NOUN']",5,2,0,0,0,2,0,1,0,0,0,0
0057-414228f8-c268-40d6-9349-b35df4f080d9,27,3,K,dog with ball,1,dog with ball,"[dog, with, ball]","[dog with, with ball]",[dog with ball],"['NOUN', 'ADP', 'NOUN']",3,2,0,0,0,0,0,1,0,0,0,0
0057-414228f8-c268-40d6-9349-b35df4f080d9,28,3,L,shadow person lightning bolt base,1,shadow person lightning bolt base,"[shadow, person, lightning, bolt, base]","[shadow person, person lightning, lightning bolt, bolt base]","[shadow person lightning, person lightning bolt, lightning bolt base]","['NOUN', 'NOUN', 'NOUN', 'NOUN', 'NOUN']",5,5,0,0,0,0,0,0,0,0,0,0
0057-414228f8-c268-40d6-9349-b35df4f080d9,29,3,D,grad at lectern,1,grad at lectern,"[grad, at, lectern]","[grad at, at lectern]",[grad at lectern],"['NOUN', 'ADP', 'NOUN']",3,2,0,0,0,0,0,1,0,0,0,0
0057-414228f8-c268-40d6-9349-b35df4f080d9,30,3,A,spy,1,spy,[spy],[],[],['PROPN'],1,1,0,0,0,0,0,0,0,0,0,0
0057-414228f8-c268-40d6-9349-b35df4f080d9,31,3,F,sitting grad pointed left,1,sitting grad pointed left,"[sit, grad, point, left]","[sit grad, grad point, point left]","[sit grad point, grad point left]","['VERB', 'NOUN', 'VERB', 'ADV']",4,1,0,0,2,0,0,0,1,0,0,0
0057-414228f8-c268-40d6-9349-b35df4f080d9,32,3,G,seal with ball,1,seal with ball,"[seal, with, ball]","[seal with, with ball]",[seal with ball],"['VERB', 'ADP', 'NOUN']",3,1,0,0,1,0,0,1,0,0,0,0
0057-414228f8-c268-40d6-9349-b35df4f080d9,33,3,C,preacher,1,preacher,[preacher],[],[],['NOUN'],1,1,0,0,0,0,0,0,0,0,0,0
0057-414228f8-c268-40d6-9349-b35df4f080d9,34,3,E,rabbit ears lightning base,1,rabbit ears lightning base,"[rabbit, ear, lightning, base]","[rabbit ear, ear lightning, lightning base]","[rabbit ear lightning, ear lightning base]","['NOUN', 'NOUN', 'NOUN', 'NOUN']",4,4,0,0,0,0,0,0,0,0,0,0
0057-414228f8-c268-40d6-9349-b35df4f080d9,35,3,H,indiana diamond,1,indiana diamond,"[indiana, diamond]",[indiana diamond],[],"['PROPN', 'PROPN']",2,2,0,0,0,0,0,0,0,0,0,0
0057-414228f8-c268-40d6-9349-b35df4f080d9,36,3,I,skate,1,skate,[skate],[],[],['PROPN'],1,1,0,0,0,0,0,0,0,0,0,0
0057-414228f8-c268-40d6-9349-b35df4f080d9,37,4,K,dog with ball,1,dog with ball,"[dog, with, ball]","[dog with, with ball]",[dog with ball],"['NOUN', 'ADP', 'NOUN']",3,2,0,0,0,0,0,1,0,0,0,0
0057-414228f8-c268-40d6-9349-b35df4f080d9,38,4,L,shadow lightning bolt,1,shadow lightning bolt,"[shadow, lightning, bolt]","[shadow lightning, lightning bolt]",[shadow lightning bolt],"['NOUN', 'NOUN', 'NOUN']",3,3,0,0,0,0,0,0,0,0,0,0
0057-414228f8-c268-40d6-9349-b35df4f080d9,39,4,I,skate,1,skate,[skate],[],[],['PROPN'],1,1,0,0,0,0,0,0,0,0,0,0
0057-414228f8-c268-40d6-9349-b35df4f080d9,40,4,E,rabbit ears,1,rabbit ears,"[rabbit, ear]",[rabbit ear],[],"['NOUN', 'NOUN']",2,2,0,0,0,0,0,0,0,0,0,0
0057-414228f8-c268-40d6-9349-b35df4f080d9,41,4,J,diamond flat top state,1,diamond flat top state,"[diamond, flat, top, state]","[diamond flat, flat top, top state]","[diamond flat top, flat top state]","['PROPN', 'ADJ', 'ADJ', 'NOUN']",4,2,0,0,0,2,0,0,0,0,0,0
0057-414228f8-c268-40d6-9349-b35df4f080d9,42,4,D,grad lectern,1,grad lectern,"[grad, lectern]",[grad lectern],[],"['ADJ', 'PROPN']",2,1,0,0,0,1,0,0,0,0,0,0
0057-414228f8-c268-40d6-9349-b35df4f080d9,43,4,F,sitting grad,1,sitting grad,"[sit, grad]",[sit grad],[],"['VERB', 'PROPN']",2,1,0,0,1,0,0,0,0,0,0,0
0057-414228f8-c268-40d6-9349-b35df4f080d9,44,4,C,preacher,1,preacher,[preacher],[],[],['NOUN'],1,1,0,0,0,0,0,0,0,0,0,0
0057-414228f8-c268-40d6-9349-b35df4f080d9,45,4,A,spy,1,spy,[spy],[],[],['PROPN'],1,1,0,0,0,0,0,0,0,0,0,0
0057-414228f8-c268-40d6-9349-b35df4f080d9,46,4,G,seal,1,seal,[seal],[],[],['VERB'],1,0,0,0,1,0,0,0,0,0,0,0
0057-414228f8-c268-40d6-9349-b35df4f080d9,47,4,B,mouse,1,mouse,[mouse],[],[],['NOUN'],1,1,0,0,0,0,0,0,0,0,0,0
0057-414228f8-c268-40d6-9349-b35df4f080d9,48,4,H,indiana diamond,1,indiana diamond,"[indiana, diamond]",[indiana diamond],[],"['PROPN', 'PROPN']",2,2,0,0,0,0,0,0,0,0,0,0
0057-414228f8-c268-40d6-9349-b35df4f080d9,49,5,I,skate,1,skate,[skate],[],[],['PROPN'],1,1,0,0,0,0,0,0,0,0,0,0
0057-414228f8-c268-40d6-9349-b35df4f080d9,50,5,A,spy,1,spy,[spy],[],[],['PROPN'],1,1,0,0,0,0,0,0,0,0,0,0
0057-414228f8-c268-40d6-9349-b35df4f080d9,51,5,L,shadow lightning bolt,1,shadow lightning bolt,"[shadow, lightning, bolt]","[shadow lightning, lightning bolt]",[shadow lightning bolt],"['NOUN', 'NOUN', 'NOUN']",3,3,0,0,0,0,0,0,0,0,0,0
0057-414228f8-c268-40d6-9349-b35df4f080d9,52,5,G,seal,1,seal,[seal],[],[],['VERB'],1,0,0,0,1,0,0,0,0,0,0,0
0057-414228f8-c268-40d6-9349-b35df4f080d9,53,5,H,indiana diamond,1,indiana diamond,"[indiana, diamond]",[indiana diamond],[],"['PROPN', 'PROPN']",2,2,0,0,0,0,0,0,0,0,0,0
0057-414228f8-c268-40d6-9349-b35df4f080d9,54,5,J,flat top state diamond,1,flat top state diamond,"[flat, top, state, diamond]","[flat top, top state, state diamond]","[flat top state, top state diamond]","['ADJ', 'ADJ', 'NOUN', 'NOUN']",4,2,0,0,0,2,0,0,0,0,0,0
0057-414228f8-c268-40d6-9349-b35df4f080d9,55,5,F,sitting grad,1,sitting grad,"[sit, grad]",[sit grad],[],"['VERB', 'PROPN']",2,1,0,0,1,0,0,0,0,0,0,0
0057-414228f8-c268-40d6-9349-b35df4f080d9,56,5,C,preacher,1,preacher,[preacher],[],[],['NOUN'],1,1,0,0,0,0,0,0,0,0,0,0
0057-414228f8-c268-40d6-9349-b35df4f080d9,57,5,B,mouse,1,mouse,[mouse],[],[],['NOUN'],1,1,0,0,0,0,0,0,0,0,0,0
0057-414228f8-c268-40d6-9349-b35df4f080d9,58,5,D,grad lectern,1,grad lectern,"[grad, lectern]",[grad lectern],[],"['ADJ', 'PROPN']",2,1,0,0,0,1,0,0,0,0,0,0
0057-414228f8-c268-40d6-9349-b35df4f080d9,59,5,K,"dog ball, diamond on nose dog on hind legs",0,"dog ball, diamond on nose dog on hind legs","[dog, ball, diamond, on, nose, dog, on, hind, leg]","[dog ball, ball diamond, diamond on, on nose, nose dog, dog on, on hind, hind leg]","[dog ball diamond, ball diamond on, diamond on nose, on nose dog, nose dog on, dog on hind, on hind leg]","['NOUN', 'NOUN', 'NOUN', 'ADP', 'NOUN', 'NOUN', 'ADP', 'NOUN', 'NOUN']",9,7,0,0,0,0,0,2,0,0,0,0
0057-414228f8-c268-40d6-9349-b35df4f080d9,60,5,E,rabbit ears,1,rabbit ears,"[rabbit, ear]",[rabbit ear],[],"['NOUN', 'NOUN']",2,2,0,0,0,0,0,0,0,0,0,0
0057-414228f8-c268-40d6-9349-b35df4f080d9,61,6,H,indiana,1,indiana,[indiana],[],[],['PROPN'],1,1,0,0,0,0,0,0,0,0,0,0
0057-414228f8-c268-40d6-9349-b35df4f080d9,62,6,L,shadow lightning,1,shadow lightning,"[shadow, lightning]",[shadow lightning],[],"['NOUN', 'NOUN']",2,2,0,0,0,0,0,0,0,0,0,0
0057-414228f8-c268-40d6-9349-b35df4f080d9,63,6,F,"sitting grad, grad",1,"sitting grad, grad","[sit, grad, grad]","[sit grad, grad grad]",[sit grad grad],"['VERB', 'NOUN', 'NOUN']",3,2,0,0,1,0,0,0,0,0,0,0
0057-414228f8-c268-40d6-9349-b35df4f080d9,64,6,K,dog and ball ,1,dog and ball ,"[dog, and, ball]","[dog and, and ball]",[dog and ball],"['NOUN', 'CCONJ', 'NOUN']",3,2,0,0,0,0,1,0,0,0,0,0
0057-414228f8-c268-40d6-9349-b35df4f080d9,65,6,G,seal,1,seal,[seal],[],[],['VERB'],1,0,0,0,1,0,0,0,0,0,0,0
0057-414228f8-c268-40d6-9349-b35df4f080d9,66,6,J,flat top diamond,1,flat top diamond,"[flat, top, diamond]","[flat top, top diamond]",[flat top diamond],"['ADJ', 'ADJ', 'NOUN']",3,1,0,0,0,2,0,0,0,0,0,0
0057-414228f8-c268-40d6-9349-b35df4f080d9,67,6,I,skate,1,skate,[skate],[],[],['PROPN'],1,1,0,0,0,0,0,0,0,0,0,0
0057-414228f8-c268-40d6-9349-b35df4f080d9,68,6,E,rabbit ears,1,rabbit ears,"[rabbit, ear]",[rabbit ear],[],"['NOUN', 'NOUN']",2,2,0,0,0,0,0,0,0,0,0,0
0057-414228f8-c268-40d6-9349-b35df4f080d9,69,6,D,grad lectern,1,grad lectern,"[grad, lectern]",[grad lectern],[],"['ADJ', 'PROPN']",2,1,0,0,0,1,0,0,0,0,0,0
0057-414228f8-c268-40d6-9349-b35df4f080d9,70,6,C,preacher,1,preacher,[preacher],[],[],['NOUN'],1,1,0,0,0,0,0,0,0,0,0,0
0057-414228f8-c268-40d6-9349-b35df4f080d9,71,6,B,mouse,1,mouse,[mouse],[],[],['NOUN'],1,1,0,0,0,0,0,0,0,0,0,0
0057-414228f8-c268-40d6-9349-b35df4f080d9,72,6,A,spy,1,spy,[spy],[],[],['PROPN'],1,1,0,0,0,0,0,0,0,0,0,0
0349-951c1418-40e9-48b3-8290-7ed4461f4d54,1,1,A,"man standing on one foot while raising his arms, with 'loose sleeves",0,"man standing on one foot while raising his arms, with 'loose sleeves","[man, stand, on, one, foot, while, raise, -PRON-, arm, with, loose, sleeve]","[man stand, stand on, on one, one foot, foot while, while raise, raise -PRON-, -PRON- arm, arm with, with loose, loose sleeve]","[man stand on, stand on one, on one foot, one foot while, foot while raise, while raise -PRON-, raise -PRON- arm, -PRON- arm with, arm with loose, with loose sleeve]","['NOUN', 'VERB', 'ADP', 'NUM', 'NOUN', 'SCONJ', 'VERB', 'PRON', 'NOUN', 'ADP', 'ADJ', 'NOUN']",12,4,0,1,2,1,0,2,0,0,1,1
0349-951c1418-40e9-48b3-8290-7ed4461f4d54,2,1,D,man standing holding a plate in front of him,1,man standing holding a plate in front of him,"[man, stand, hold, a, plate, in, front, of, -PRON-]","[man stand, stand hold, hold a, a plate, plate in, in front, front of, of -PRON-]","[man stand hold, stand hold a, hold a plate, a plate in, plate in front, in front of, front of -PRON-]","['NOUN', 'VERB', 'VERB', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADP', 'PRON']",9,3,1,1,2,0,0,2,0,0,0,0
0349-951c1418-40e9-48b3-8290-7ed4461f4d54,3,1,K,"man kneeling down fully, facing right",1,"man kneeling down fully, facing right","[man, kneel, down, fully, face, right]","[man kneel, kneel down, down fully, fully face, face right]","[man kneel down, kneel down fully, down fully face, fully face right]","['PROPN', 'VERB', 'ADP', 'ADV', 'VERB', 'ADV']",6,1,0,0,2,0,0,1,2,0,0,0
0349-951c1418-40e9-48b3-8290-7ed4461f4d54,4,1,B,"man kneeling down while raising both arms, facing right",1,"man kneeling down while raising both arms, facing right","[man, kneel, down, while, raise, both, arm, face, right]","[man kneel, kneel down, down while, while raise, raise both, both arm, arm face, face right]","[man kneel down, kneel down while, down while raise, while raise both, raise both arm, both arm face, arm face right]","['PROPN', 'VERB', 'ADP', 'SCONJ', 'VERB', 'DET', 'NOUN', 'VERB', 'ADV']",9,2,1,0,3,0,0,1,1,0,1,0
0349-951c1418-40e9-48b3-8290-7ed4461f4d54,5,1,F,"man sitting down on ground, facing left",1,"man sitting down on ground, facing left","[man, sit, down, on, ground, face, leave]","[man sit, sit down, down on, on ground, ground face, face leave]","[man sit down, sit down on, down on ground, on ground face, ground face leave]","['NOUN', 'VERB', 'ADP', 'ADP', 'NOUN', 'VERB', 'VERB']",7,2,0,0,3,0,0,2,0,0,0,0
