gameid,msgTime,roundNum,role,contents,totalLength,thinksHuman,comments,ratePartner,nativeEnglish,numRawWords
9475-3,1459977365196,4,director,dancing to the right 10,1744910,yes,no,loved,yes,5
9475-3,1459977369375,4,matcher,ok,1666273,yes,,liked,yes,1
9475-3,1459977386468,4,director,big triangle with tail 11,1744910,yes,no,loved,yes,5
9475-3,1459977390444,4,director,facing right,1744910,yes,no,loved,yes,2
9475-3,1459977392663,4,matcher,ok,1666273,yes,,liked,yes,1
9475-3,1459977396356,4,director,ghost 12,1744910,yes,no,loved,yes,2
9475-3,1459977398176,4,matcher,got it,1666273,yes,,liked,yes,2
9475-3,1459977418036,5,director,guy facing left arms out 1,1744910,yes,no,loved,yes,6
9475-3,1459977425198,5,matcher,ok,1666273,yes,,liked,yes,1
9475-3,1459977428909,5,director,no arms small triangle 2,1744910,yes,no,loved,yes,5
9475-3,1459977434749,5,matcher,ok,1666273,yes,,liked,yes,1
9475-3,1459977440813,5,director,facing right big triangle no tail 3,1744910,yes,no,loved,yes,7
9475-3,1459977450230,5,matcher,ok,1666273,yes,,liked,yes,1
9475-3,1459977451309,5,director,no arms at all 4,1744910,yes,no,loved,yes,5
9475-3,1459977456618,5,matcher,ok,1666273,yes,,liked,yes,1
9475-3,1459977457526,5,director,head on back 5,1744910,yes,no,loved,yes,4
9475-3,1459977463814,5,matcher,ok,1666273,yes,,liked,yes,1
9475-3,1459977474574,5,director,keeling two big triangles 6,1744910,yes,no,loved,yes,5
9475-3,1459977483495,5,matcher,ok,1666273,yes,,liked,yes,1
9475-3,1459977484478,5,director,dancing facing right 7,1744910,yes,no,loved,yes,4
9475-3,1459977493834,5,matcher,ok,1666273,yes,,liked,yes,1
9475-3,1459977495534,5,director,ghost 8,1744910,yes,no,loved,yes,2
9475-3,1459977500024,5,matcher,ok,1666273,yes,,liked,yes,1
9475-3,1459977513678,5,director,facing right big triangle with tail 9,1744910,yes,no,loved,yes,7
9475-3,1459977518339,5,matcher,ok,1666273,yes,,liked,yes,1
9475-3,1459977521263,5,director,bunny ears,1744910,yes,no,loved,yes,2
9475-3,1459977523383,5,director,10,1744910,yes,no,loved,yes,1
9475-3,1459977526630,5,matcher,ok,1666273,yes,,liked,yes,1
9475-3,1459977529935,5,director,sitting to left 11,1744910,yes,no,loved,yes,4
9475-3,1459977534707,5,matcher,ok,1666273,yes,,liked,yes,1
9475-3,1459977539246,5,director,one leg facing left 12,1744910,yes,no,loved,yes,5
9475-3,1459977542356,5,matcher,got it,1666273,yes,,liked,yes,2
9475-3,1459977561128,6,director,big triangle facing right no tail 1,1744910,yes,no,loved,yes,7
9475-3,1459977569417,6,matcher,ok,1666273,yes,,liked,yes,1
9475-3,1459977570439,6,director,with tail 2,1744910,yes,no,loved,yes,3
9475-3,1459977578270,6,matcher,ok,1666273,yes,,liked,yes,1
9475-3,1459977580111,6,director,bunny ears 3,1744910,yes,no,loved,yes,3
9475-3,1459977585430,6,matcher,ok,1666273,yes,,liked,yes,1
9475-3,1459977586592,6,director,dancing right 4,1744910,yes,no,loved,yes,3
9475-3,1459977590940,6,matcher,ok,1666273,yes,,liked,yes,1
9475-3,1459977591511,6,director,no arms 5,1744910,yes,no,loved,yes,3
9475-3,1459977597122,6,matcher,ok,1666273,yes,,liked,yes,1
9475-3,1459977601936,6,director,kneeling 2 triangles 6,1744910,yes,no,loved,yes,4
9475-3,1459977608014,6,matcher,ok,1666273,yes,,liked,yes,1
9475-3,1459977608704,6,director,ghost 7,1744910,yes,no,loved,yes,2
9475-3,1459977612573,6,matcher,ok,1666273,yes,,liked,yes,1
9475-3,1459977617096,6,director,no arms small triangle 8,1744910,yes,no,loved,yes,5
9475-3,1459977621810,6,matcher,ok,1666273,yes,,liked,yes,1
9475-3,1459977622584,6,director,head on back 9,1744910,yes,no,loved,yes,4
9475-3,1459977626800,6,matcher,ok,1666273,yes,,liked,yes,1
9475-3,1459977628936,6,director,one leg facing left 10,1744910,yes,no,loved,yes,5
9475-3,1459977636604,6,matcher,ok,1666273,yes,,liked,yes,1
9475-3,1459977639413,6,director,sitting down left 11,1744910,yes,no,loved,yes,4
9475-3,1459977642260,6,matcher,ok,1666273,yes,,liked,yes,1
9475-3,1459977645065,6,director,arms out facing left 12,1744910,yes,no,loved,yes,5
9475-3,1459977647097,6,director,whew,1744910,yes,no,loved,yes,1
9475-3,1459977648141,6,matcher,done,1666273,yes,,liked,yes,1
9475-3,1459977650883,6,matcher,yeah,1666273,yes,,liked,yes,1
9917-f,1459977078861,1,matcher,What do yours look like?,1580684,yes,,liked,yes,5
9917-f,1459977099650,1,director,3 looks like a person on one leg,1933633,yes,no,liked,yes,8
9917-f,1459977129425,1,director,4 is a person sitting without their legs showing,1933633,yes,no,liked,yes,9
9917-f,1459977147167,1,director,6 is a person sitting with their legs out to the left,1933633,yes,no,liked,yes,12
9917-f,1459977160440,1,director,8 is a person kneeling to the right,1933633,yes,no,liked,yes,8
9917-f,1459977184268,1,director,9 is kneeling with their hands to left,1933633,yes,no,liked,yes,8
9917-f,1459977198515,1,director,7 is leaning back with arms out,1933633,yes,no,liked,yes,7
9917-f,1459977233991,1,director,1 is like 8 but doesn't have a triangle coming out of its back,1933633,yes,no,liked,yes,14
9917-f,1459977292835,1,matcher,What does 2 look like?,1580684,yes,,liked,yes,5
9917-f,1459977321228,1,director,looks like one leg is in the hair and the square head is hanging off their back,1933633,yes,no,liked,yes,17
9917-f,1459977347015,1,director,"12 looks like a person sitting, in a head dress possibly",1933633,yes,no,liked,yes,11
9917-f,1459977392617,1,matcher,And 5?,1580684,yes,,liked,yes,2
9917-f,1459977429713,1,director,"its really hard to describe :( a person sitting with the hands up to the left, a triangle behind their back",1933633,yes,no,liked,yes,21
9917-f,1459977458139,1,director,11 looks similar but doesn't hand hands/arms,1933633,yes,no,liked,yes,7
9917-f,1459977491704,1,director,and 10 is standing,1933633,yes,no,liked,yes,4
9917-f,1459977582582,1,matcher,This is hard. I think I have them.,1580684,yes,,liked,yes,8
9917-f,1459977595305,1,director,Yeah it is.,1933633,yes,no,liked,yes,3
9917-f,1459977622274,2,director,1 is person kneeling with no arms,1933633,yes,no,liked,yes,7
9917-f,1459977635508,2,director,2 is kneeling with arms to your left,1933633,yes,no,liked,yes,8
9917-f,1459977654058,2,director,3 is leaning back with arms out,1933633,yes,no,liked,yes,7
9917-f,1459977667547,2,director,"4 is on 1 leg, leaning to your left",1933633,yes,no,liked,yes,9
9917-f,1459977676202,2,director,5 is sitting to legs to your left,1933633,yes,no,liked,yes,8
9917-f,1459977698651,2,director,6 is kneeling with arms to right and small triangle at top of back,1933633,yes,no,liked,yes,14
9917-f,1459977719889,2,director,8 is like 6 but without the triangle on the back,1933633,yes,no,liked,yes,11
9917-f,1459977735899,2,director,11 is sitting with the head dress on,1933633,yes,no,liked,yes,8
9917-f,1459977750708,2,director,12 has a leg up and their head appears to be falling off,1933633,yes,no,liked,yes,13
9917-f,1459977803365,2,director,"10 looks to be kneeling to the left, with a big triangle coming with the back of the neck basically",1933633,yes,no,liked,yes,20
9917-f,1459977879357,2,director,9 is similar to 10 with a person kneeling to the right but without arms,1933633,yes,no,liked,yes,15
9917-f,1459977907252,2,director,"7 is the one with a person standing, their left side is an L",1933633,yes,no,liked,yes,14
9917-f,1459977938487,2,matcher,Think I'm ready,1580684,yes,,liked,yes,3
9917-f,1459977956253,3,matcher,Seems like there are 4 that are confusing me,1580684,yes,,liked,yes,9
9917-f,1459977986188,3,director,"Yeah, that's pretty good though, if you have any questions about any particular ones just let me know, i'll start describing now...",1933633,yes,no,liked,yes,22
9917-f,1459977997098,3,director,1 is person kneeling with no arms,1933633,yes,no,liked,yes,7
9917-f,1459978022727,3,director,4 is on one leg,1933633,yes,no,liked,yes,5
9917-f,1459978031963,3,director,"5 is leaning back, arms out",1933633,yes,no,liked,yes,6
9917-f,1459978050583,3,director,"6 is standing, with left side making an L",1933633,yes,no,liked,yes,9
9917-f,1459978082050,3,director,"7 is possibly standing, but has hands out to left",1933633,yes,no,liked,yes,10
9917-f,1459978090796,3,director,8's head is falling off,1933633,yes,no,liked,yes,5
9917-f,1459978104204,3,director,"9 is kneeling to right, triangle coming from back",1933633,yes,no,liked,yes,9
9917-f,1459978108684,3,director,10 has head dress,1933633,yes,no,liked,yes,4
9917-f,1459978118156,3,director,"11 is kneeling to right, no triangle on back",1933633,yes,no,liked,yes,9
9917-f,1459978129726,3,director,12 is sitting with legs stretched to right,1933633,yes,no,liked,yes,8
9917-f,1459978180059,3,director,"2 and 3 are the hardest for me to describe. If you only have 2 left, 3 is the one with the triangle coming from where the neck would be",1933633,yes,no,liked,yes,30
9917-f,1459978197024,3,director,"both are sitting, with legs to left",1933633,yes,no,liked,yes,7
9917-f,1459978210139,3,director,2 appears to be looking down,1933633,yes,no,liked,yes,6
9917-f,1459978245012,3,matcher,Think I'm ready,1580684,yes,,liked,yes,3
9917-f,1459978251493,4,director,Great!,1933633,yes,no,liked,yes,1
9917-f,1459978251559,4,matcher,Good for us,1580684,yes,,liked,yes,3
9917-f,1459978262649,4,director,1 is sitting with no arms,1933633,yes,no,liked,yes,6
9917-f,1459978274996,4,director,"3 is kneeling to right, no triangle from back",1933633,yes,no,liked,yes,9
9917-f,1459978278836,4,director,4 has head dress,1933633,yes,no,liked,yes,4
9917-f,1459978291006,4,director,"5 is standing, with arms and hands to left",1933633,yes,no,liked,yes,9
9917-f,1459978297120,4,director,"6 is leaning back, arms out",1933633,yes,no,liked,yes,6
9917-f,1459978303343,4,director,8's head is coming off,1933633,yes,no,liked,yes,5
9917-f,1459978314105,4,director,"9 is kneeling to right, with triangle from back",1933633,yes,no,liked,yes,9
9917-f,1459978319560,4,director,10 is on one leg,1933633,yes,no,liked,yes,5
9917-f,1459978332586,4,director,"11 is standing, with left sides creating an L",1933633,yes,no,liked,yes,9
9917-f,1459978342580,4,director,12 is sitting with legs out to the left,1933633,yes,no,liked,yes,9
9917-f,1459978376795,4,director,"of the other 2, 2 is the one looking down, 7 is looking up with triangle from neck",1933633,yes,no,liked,yes,18
9917-f,1459978401379,4,matcher,got it,1580684,yes,,liked,yes,2
9917-f,1459978415284,5,director,3 is sitting with no arms,1933633,yes,no,liked,yes,6
9917-f,1459978418996,5,director,4 head dress,1933633,yes,no,liked,yes,3
9917-f,1459978427218,5,director,5 arms and hands out to left,1933633,yes,no,liked,yes,7
9917-f,1459978436827,5,director,6 creates the L on left,1933633,yes,no,liked,yes,6
9917-f,1459978444576,5,director,7 is kneeling to right with no triangle,1933633,yes,no,liked,yes,8
9917-f,1459978450376,5,director,8 is on one leg,1933633,yes,no,liked,yes,5
9917-f,1459978460566,5,director,9 is kneeling to right with triangle from back,1933633,yes,no,liked,yes,9
9917-f,1459978469507,5,director,"10 is leaning back, arms out",1933633,yes,no,liked,yes,6
9917-f,1459978477197,5,director,11 is sitting with legs to left,1933633,yes,no,liked,yes,7
9917-f,1459978486118,5,director,12's head is coming off,1933633,yes,no,liked,yes,5
9917-f,1459978503663,5,director,"1 is looking up with triangle from neck, 2 is looking down",1933633,yes,no,liked,yes,12
9917-f,1459978512108,5,matcher,got it,1580684,yes,,liked,yes,2
9917-f,1459978523739,6,director,1 has hands and arms out to left,1933633,yes,no,liked,yes,8
9917-f,1459978534078,6,director,"3 is kneeling to right, triangle at back",1933633,yes,no,liked,yes,8
9917-f,1459978541403,6,director,5's head is coming off,1933633,yes,no,liked,yes,5
9917-f,1459978547971,6,director,"6 is sitting, no arms",1933633,yes,no,liked,yes,5
9917-f,1459978552589,6,director,7 is on one leg,1933633,yes,no,liked,yes,5
9917-f,1459978558910,6,director,"8 is sitting, legs out to left",1933633,yes,no,liked,yes,7
9917-f,1459978563459,6,director,9 has head dress,1933633,yes,no,liked,yes,4
9917-f,1459978571956,6,director,10's left side creates the L,1933633,yes,no,liked,yes,6
9917-f,1459978581792,6,director,"11 is kneeling to right, no triangle",1933633,yes,no,liked,yes,7
9917-f,1459978588182,6,director,"12 is leaning back, arms out",1933633,yes,no,liked,yes,6
9917-f,1459978606723,6,director,"2 is looking down, 4 is looking up with triangle from neck",1933633,yes,no,liked,yes,12
9917-f,1459978614691,6,matcher,got it,1580684,yes,,liked,yes,2
8657-3,1459977201334,1,director,hi,835004,yes,,okay,yes,1
8657-3,1459977204495,1,matcher,hi,751169,yes,None thanks.,okay,yes,1
8657-3,1459977212494,1,director,ok #1 is the guy offering something,835004,yes,,okay,yes,7
8657-3,1459977219137,1,director,facing left,835004,yes,,okay,yes,2
8657-3,1459977228046,1,matcher,ok,751169,yes,None thanks.,okay,yes,1
8657-3,1459977233609,1,director,#2 is the guy with his hands in the air,835004,yes,,okay,yes,10
8657-3,1459977243921,1,director,#3 is a guy kneeling,835004,yes,,okay,yes,5
8657-3,1459977253448,1,director,#4 is a guy kneeling tightly with no arms or legs out,835004,yes,,okay,yes,12
8657-3,1459977263112,1,director,"#5 is a guy with  his face in a triangle, while he is kneeling",835004,yes,,okay,yes,14
8657-3,1459977275389,1,director,#6 is a guy dancing with his head at a weird angle,835004,yes,,okay,yes,12
8657-3,1459977287971,1,director,#7 is someone ice skating with their leg out at a 90 degree angle,835004,yes,,okay,yes,14
8657-3,1459977305304,1,director,#8 is a guy kneeling.... uhm,835004,yes,,okay,yes,6
8657-3,1459977316452,1,director,"9 is a person dancing, with a big fat leg",835004,yes,,okay,yes,10
8657-3,1459977323396,1,director,10 is a guy resting in a siesta,835004,yes,,okay,yes,8
8657-3,1459977331603,1,director,11 is an opera singer,835004,yes,,okay,yes,5
8657-3,1459977337722,1,director,12 is a person kneeling but with hands out,835004,yes,,okay,yes,9
8657-3,1459977398657,2,director,ok 1 is the opera singer,835004,yes,,okay,yes,6
8657-3,1459977403096,2,director,2 is a guy looking drunk,835004,yes,,okay,yes,6
8657-3,1459977407979,2,director,3 is an orphan with a small hand out,835004,yes,,okay,yes,9
8657-3,1459977417300,2,director,4 is the kneeling person with a hand out,835004,yes,,okay,yes,9
8657-3,1459977420854,2,director,5 is the ice skater guy,835004,yes,,okay,yes,6
8657-3,1459977428338,2,director,"6 is a priest, with a diamond head",835004,yes,,okay,yes,8
8657-3,1459977435849,2,director,7 is the drunk siesta person,835004,yes,,okay,yes,6
8657-3,1459977442894,2,director,8 is the person kneeling with a hand out,835004,yes,,okay,yes,9
8657-3,1459977453055,2,director,9 is the person squeezing themselves into a ball,835004,yes,,okay,yes,9
8657-3,1459977458542,2,director,10 is the fat leg ice skater,835004,yes,,okay,yes,7
8657-3,1459977464417,2,director,11 is a guy with his arms out,835004,yes,,okay,yes,8
8657-3,1459977470920,2,director,12 is the guy with a face in a triangle,835004,yes,,okay,yes,10
8657-3,1459977486636,2,director,hope you got all that!!! :D :D,835004,yes,,okay,yes,7
8657-3,1459977504944,3,director,1 is the staggering drunk,835004,yes,,okay,yes,5
8657-3,1459977509366,3,director,2 is the kneeling person with no limbs,835004,yes,,okay,yes,8
8657-3,1459977512462,3,director,3 is the ice skater,835004,yes,,okay,yes,5
8657-3,1459977515765,3,director,4 is the guy wondering WHY,835004,yes,,okay,yes,6
8657-3,1459977518741,3,director,5 is the opera singer,835004,yes,,okay,yes,5
8657-3,1459977521798,3,director,6 is the siesta guy,835004,yes,,okay,yes,5
8657-3,1459977527295,3,director,7 is the orphan with a small hand,835004,yes,,okay,yes,8
8657-3,1459977530029,3,director,8 is the kneeling person,835004,yes,,okay,yes,5
8657-3,1459977535233,3,director,9 is the fat leg ice skater,835004,yes,,okay,yes,7
8657-3,1459977539056,3,director,10 is a kneeling person,835004,yes,,okay,yes,5
8657-3,1459977541748,3,director,11 is triangle face,835004,yes,,okay,yes,4
8657-3,1459977543385,3,director,12 is the priest,835004,yes,,okay,yes,4
8657-3,1459977645690,4,director,1 is orphan infant,835004,yes,,okay,yes,4
8657-3,1459977647652,4,director,2 is siesta,835004,yes,,okay,yes,3
8657-3,1459977651278,4,director,3 is staggering drunk,835004,yes,,okay,yes,4
8657-3,1459977653651,4,director,4 is opera,835004,yes,,okay,yes,3
8657-3,1459977656899,4,director,5 is kneeling with arm out,835004,yes,,okay,yes,6
8657-3,1459977660434,4,director,6 is ice skater,835004,yes,,okay,yes,4
8657-3,1459977665933,4,director,7 is non fat leg ice skater,835004,yes,,okay,yes,7
8657-3,1459977668969,4,director,8 is guy saying WHY,835004,yes,,okay,yes,5
8657-3,1459977673630,4,director,9 is kneeling person,835004,yes,,okay,yes,4
8657-3,1459977676056,4,director,10 is triangle face,835004,yes,,okay,yes,4
8657-3,1459977679625,4,director,11 is limbless person,835004,yes,,okay,yes,4
8657-3,1459977683267,4,director,12 is priest,835004,yes,,okay,yes,3
8657-3,1459977760480,5,director,1 is siesta,835004,yes,,okay,yes,3
8657-3,1459977762933,5,director,2 is triangle face,835004,yes,,okay,yes,4
8657-3,1459977765655,5,director,3 is guy saying WHY,835004,yes,,okay,yes,5
8657-3,1459977767911,5,director,4 is kneeling person,835004,yes,,okay,yes,4
8657-3,1459977770256,5,director,5 is kneeling person,835004,yes,,okay,yes,4
8657-3,1459977775741,5,director,6 is kneeling person,835004,yes,,okay,yes,4
8657-3,1459977778929,5,director,7 is staggering person,835004,yes,,okay,yes,4
8657-3,1459977781492,5,director,8 is opera,835004,yes,,okay,yes,3
8657-3,1459977783806,5,director,9 is ice skater,835004,yes,,okay,yes,4
8657-3,1459977788552,5,director,10 is fat leg skater,835004,yes,,okay,yes,5
8657-3,1459977790763,5,director,11 is limbless,835004,yes,,okay,yes,3
8657-3,1459977793933,5,director,12 is priest,835004,yes,,okay,yes,3
8657-3,1459977849488,6,director,1 is kneeling person,835004,yes,,okay,yes,4
8657-3,1459977851180,6,director,2 is drunk,835004,yes,,okay,yes,3
8657-3,1459977852512,6,director,3 is opera,835004,yes,,okay,yes,3
8657-3,1459977854840,6,director,4 is orphan,835004,yes,,okay,yes,3
8657-3,1459977856361,6,director,5 is kneeling,835004,yes,,okay,yes,3
8657-3,1459977858233,6,director,6 is drunk,835004,yes,,okay,yes,3
8657-3,1459977860321,6,director,7 is ice skater,835004,yes,,okay,yes,4
8657-3,1459977863168,6,director,8 is limbless,835004,yes,,okay,yes,3
8657-3,1459977864816,6,director,9 is priest,835004,yes,,okay,yes,3
8657-3,1459977866978,6,director,10 ius WHY,835004,yes,,okay,yes,3
8657-3,1459977868881,6,director,11 is ice skater,835004,yes,,okay,yes,4
8657-3,1459977870739,6,director,12 is triangleface,835004,yes,,okay,yes,3
3622-6,1459977499937,1,matcher,Hello?,969921,yes,"Fun, but long. ",loved,yes,1
3622-6,1459977502540,1,director,first looks like a person leaning forward with a triangular tail behind,1118970,yes,"Fun HIT, thanks!",loved,yes,12
3622-6,1459977505215,1,director,hi,1118970,yes,"Fun HIT, thanks!",loved,yes,1
3622-6,1459977520252,1,director,does that make sense?,1118970,yes,"Fun HIT, thanks!",loved,yes,4
3622-6,1459977531412,1,matcher,yes,969921,yes,"Fun, but long. ",loved,yes,1
3622-6,1459977550202,1,director,2 looks like a sitting dog with a square and a triangle for ears,1118970,yes,"Fun HIT, thanks!",loved,yes,14
3622-6,1459977590012,1,director,3 looks like a person sitting in a beanbag chair with a square head,1118970,yes,"Fun HIT, thanks!",loved,yes,14
3622-6,1459977605665,1,director,4 looks like a person kneeling with arms out in front,1118970,yes,"Fun HIT, thanks!",loved,yes,11
3622-6,1459977624755,1,director,5 is a diving tackle with arms outstretched,1118970,yes,"Fun HIT, thanks!",loved,yes,8
3622-6,1459977675596,1,director,6... is confusing. a square head with a parallelogram on the bottom left and two separate triangles on the right,1118970,yes,"Fun HIT, thanks!",loved,yes,20
3622-6,1459977698793,1,director,7 is a penguin with its head bent down and a square on its shoulders,1118970,yes,"Fun HIT, thanks!",loved,yes,15
3622-6,1459977724116,1,director,8 is a person wearing a robe with holding a bucket to the left,1118970,yes,"Fun HIT, thanks!",loved,yes,14
3622-6,1459977741658,1,director,9 is a diamond sitting on a flat shelf,1118970,yes,"Fun HIT, thanks!",loved,yes,9
3622-6,1459977766283,1,director,"10 is a diamond on top of a bigger diamond, with a slight projection to the right",1118970,yes,"Fun HIT, thanks!",loved,yes,17
3622-6,1459977791933,1,director,11 is a diamond balanced on a bunch of triangles,1118970,yes,"Fun HIT, thanks!",loved,yes,10
3622-6,1459977803841,1,director,12 is a rabbit with triangle ears and square head,1118970,yes,"Fun HIT, thanks!",loved,yes,10
3622-6,1459977811144,1,director,does that all make sense?,1118970,yes,"Fun HIT, thanks!",loved,yes,5
3622-6,1459977821252,1,matcher,I think so. I'm going to submit,969921,yes,"Fun, but long. ",loved,yes,7
3622-6,1459977823755,1,director,ok,1118970,yes,"Fun HIT, thanks!",loved,yes,1
3622-6,1459977838680,2,director,:),1118970,yes,"Fun HIT, thanks!",loved,yes,1
3622-6,1459977847820,2,matcher,Got 12 correct,969921,yes,"Fun, but long. ",loved,yes,3
3622-6,1459977853399,2,director,1 is the person sitting on the ground,1118970,yes,"Fun HIT, thanks!",loved,yes,8
3622-6,1459977865091,2,director,2 is the diamond on the big diamond,1118970,yes,"Fun HIT, thanks!",loved,yes,8
3622-6,1459977877743,2,director,3 is the diamond on the stack of triangles,1118970,yes,"Fun HIT, thanks!",loved,yes,9
3622-6,1459977895206,2,director,4 is the weird complicated one with the parallelogram on the bottom,1118970,yes,"Fun HIT, thanks!",loved,yes,12
3622-6,1459977898851,2,director,5 is the rabbit,1118970,yes,"Fun HIT, thanks!",loved,yes,4
3622-6,1459977904429,2,director,6 person with bucket,1118970,yes,"Fun HIT, thanks!",loved,yes,4
3622-6,1459977909255,2,director,7 diamond on shelf,1118970,yes,"Fun HIT, thanks!",loved,yes,4
3622-6,1459977916151,2,director,8 diving tackle,1118970,yes,"Fun HIT, thanks!",loved,yes,3
3622-6,1459977925559,2,director,9 person leaning forward,1118970,yes,"Fun HIT, thanks!",loved,yes,4
3622-6,1459977929558,2,director,10 kneeling,1118970,yes,"Fun HIT, thanks!",loved,yes,2
3622-6,1459977936906,2,director,11 sitting dog,1118970,yes,"Fun HIT, thanks!",loved,yes,3
3622-6,1459977946668,2,director,12 penguin,1118970,yes,"Fun HIT, thanks!",loved,yes,2
3622-6,1459977967251,2,matcher,Got it,969921,yes,"Fun, but long. ",loved,yes,2
3622-6,1459977979673,3,director,great!,1118970,yes,"Fun HIT, thanks!",loved,yes,1
3622-6,1459977983627,3,director,1 penguin,1118970,yes,"Fun HIT, thanks!",loved,yes,2
3622-6,1459977988215,3,director,2 tackle,1118970,yes,"Fun HIT, thanks!",loved,yes,2
3622-6,1459977996408,3,director,3 diamond on triangles,1118970,yes,"Fun HIT, thanks!",loved,yes,4
3622-6,1459978002009,3,director,4 diamond on shelf,1118970,yes,"Fun HIT, thanks!",loved,yes,4
3622-6,1459978010457,3,director,5 parallelogram,1118970,yes,"Fun HIT, thanks!",loved,yes,2
3622-6,1459978015023,3,director,6 kneeling,1118970,yes,"Fun HIT, thanks!",loved,yes,2
3622-6,1459978022141,3,director,7 diamond on bigger diamond,1118970,yes,"Fun HIT, thanks!",loved,yes,5
3622-6,1459978025421,3,director,8 dog,1118970,yes,"Fun HIT, thanks!",loved,yes,2
3622-6,1459978028843,3,director,9 rabbit,1118970,yes,"Fun HIT, thanks!",loved,yes,2
3622-6,1459978032957,3,director,10 leaning,1118970,yes,"Fun HIT, thanks!",loved,yes,2
3622-6,1459978038505,3,director,11 bucket,1118970,yes,"Fun HIT, thanks!",loved,yes,2
3622-6,1459978041905,3,director,12 person sitting,1118970,yes,"Fun HIT, thanks!",loved,yes,3
3622-6,1459978143445,4,director,1 parallelogram,1118970,yes,"Fun HIT, thanks!",loved,yes,2
3622-6,1459978146670,4,director,2 rabbit,1118970,yes,"Fun HIT, thanks!",loved,yes,2
3622-6,1459978149235,4,director,3 penguin,1118970,yes,"Fun HIT, thanks!",loved,yes,2
3622-6,1459978152788,4,director,4 sitting,1118970,yes,"Fun HIT, thanks!",loved,yes,2
3622-6,1459978155871,4,director,5 tackle,1118970,yes,"Fun HIT, thanks!",loved,yes,2
3622-6,1459978163948,4,director,6 2 diamonds,1118970,yes,"Fun HIT, thanks!",loved,yes,3
3622-6,1459978170117,4,director,7 diamond and triangles,1118970,yes,"Fun HIT, thanks!",loved,yes,4
3622-6,1459978174100,4,director,8 kneeling,1118970,yes,"Fun HIT, thanks!",loved,yes,2
3622-6,1459978181151,4,director,9 diamond on shelf,1118970,yes,"Fun HIT, thanks!",loved,yes,4
3622-6,1459978184772,4,director,10 bucket,1118970,yes,"Fun HIT, thanks!",loved,yes,2
3622-6,1459978187033,4,director,11 dog,1118970,yes,"Fun HIT, thanks!",loved,yes,2
3622-6,1459978191265,4,director,12 leaning,1118970,yes,"Fun HIT, thanks!",loved,yes,2
3622-6,1459978256528,4,matcher,"6 is the diamond sitting on another diamond with a triangle out towards the right, correct?",969921,yes,"Fun, but long. ",loved,yes,16
3622-6,1459978266112,4,director,"yes, sorry",1118970,yes,"Fun HIT, thanks!",loved,yes,2
3622-6,1459978275575,4,matcher,"Ok, Got it.",969921,yes,"Fun, but long. ",loved,yes,3
3622-6,1459978286506,5,director,1 tackle,1118970,yes,"Fun HIT, thanks!",loved,yes,2
3622-6,1459978291261,5,director,2 penguin,1118970,yes,"Fun HIT, thanks!",loved,yes,2
3622-6,1459978294273,5,director,3 kneeling,1118970,yes,"Fun HIT, thanks!",loved,yes,2
3622-6,1459978297850,5,director,4 rabbit,1118970,yes,"Fun HIT, thanks!",loved,yes,2
3622-6,1459978304705,5,director,5 parallelogram,1118970,yes,"Fun HIT, thanks!",loved,yes,2
3622-6,1459978313600,5,director,6 diamond on big diamond,1118970,yes,"Fun HIT, thanks!",loved,yes,5
3622-6,1459978319135,5,director,7 diamond on shelf,1118970,yes,"Fun HIT, thanks!",loved,yes,4
3622-6,1459978322396,5,director,8 bucket,1118970,yes,"Fun HIT, thanks!",loved,yes,2
3622-6,1459978325428,5,director,9 sitting,1118970,yes,"Fun HIT, thanks!",loved,yes,2
3622-6,1459978328727,5,director,10 dog,1118970,yes,"Fun HIT, thanks!",loved,yes,2
3622-6,1459978336869,5,director,11 diamond on stack of triangles,1118970,yes,"Fun HIT, thanks!",loved,yes,6
3622-6,1459978341407,5,director,12 leaning,1118970,yes,"Fun HIT, thanks!",loved,yes,2
3622-6,1459978351335,6,director,1 kneeling,1118970,yes,"Fun HIT, thanks!",loved,yes,2
3622-6,1459978354511,6,director,2 penguin,1118970,yes,"Fun HIT, thanks!",loved,yes,2
3622-6,1459978358605,6,director,3 tackle,1118970,yes,"Fun HIT, thanks!",loved,yes,2
3622-6,1459978361912,6,director,4 bucket,1118970,yes,"Fun HIT, thanks!",loved,yes,2
3622-6,1459978366223,6,director,5 parallelogram,1118970,yes,"Fun HIT, thanks!",loved,yes,2
3622-6,1459978373881,6,director,6 diamond on diamond,1118970,yes,"Fun HIT, thanks!",loved,yes,4
3622-6,1459978382458,6,director,7 diamond on triangles,1118970,yes,"Fun HIT, thanks!",loved,yes,4
3622-6,1459978384976,6,director,8 dog,1118970,yes,"Fun HIT, thanks!",loved,yes,2
3622-6,1459978390537,6,director,9 diamond on shelf,1118970,yes,"Fun HIT, thanks!",loved,yes,4
3622-6,1459978393136,6,director,10 leaning,1118970,yes,"Fun HIT, thanks!",loved,yes,2
3622-6,1459978395407,6,director,11 rabbit,1118970,yes,"Fun HIT, thanks!",loved,yes,2
3622-6,1459978397185,6,director,12 sitting,1118970,yes,"Fun HIT, thanks!",loved,yes,2
3825-d,1459978098836,1,director,Hello!,1900106,yes,This was fun!,loved,yes,1
3825-d,1459978102511,1,matcher,hi,1726840,yes,,loved,yes,1
3825-d,1459978145550,1,director,So I think I'll start with 1.  The guy kinda looks like he's ice skating with a leg up behind him.,1900106,yes,This was fun!,loved,yes,21
