gameid,roundNum,word,POS,count
0955-2,2,s,NNS,0
0955-2,2,figures,NNS,0
0955-2,2,Yes,UH,0
0955-2,2,tough,JJ,0
0955-2,2,point,NN,0
0955-2,2,wall,NN,0
0955-2,2,ca,MD,0
0955-2,2,pos,NN,0
0955-2,2,whatever,WDT,0
0955-2,2,dancer,NN,0
0955-2,2,stretched,VBD,0
0955-2,2,table,NN,0
0955-2,2,stretch,VBP,0
0955-2,2,three,CD,0
0955-2,2,But,CC,0
0955-2,2,.,.,0
0955-2,2,much,RB,0
0955-2,2,blob,NN,2
0955-2,2,shoulders,NNS,0
0955-2,2,sad,JJ,0
0955-2,2,those,DT,0
0955-2,2,And,CC,0
0955-2,2,look,VBP,0
0955-2,2,portruding,VBG,0
0955-2,2,straight,JJ,0
0955-2,2,air,NN,0
0955-2,2,n't,RB,0
0955-2,2,while,IN,0
0955-2,2,leaning,VBG,0
0955-2,2,taking,VBG,0
0955-2,2,almost,RB,0
0955-2,2,is,VBZ,10
0955-2,2,it,PRP,0
0955-2,2,surface,NN,0
0955-2,2,middle,NN,0
0955-2,2,in,IN,0
0955-2,2,ready,JJ,0
0955-2,2,You,PRP,0
0955-2,2,mouse,NN,0
0955-2,2,if,IN,0
0955-2,2,:,:,0
0955-2,2,make,VB,0
0955-2,2,bowl,NN,0
0955-2,2,same,JJ,0
0955-2,2,yoga,NN,0
0955-2,2,bunny,NN,0
0955-2,2,windmill,NN,0
0955-2,2,extended,VBN,0
0955-2,2,mountain,NN,0
0955-2,2,I,PRP,0
0955-2,2,hand,NN,0
0955-2,2,Y,NN,0
0955-2,2,'ll,MD,0
0955-2,2,lower,JJR,0
0955-2,2,hexagon,NN,0
0955-2,2,off,IN,0
0955-2,2,center,NN,0
0955-2,2,i,FW,0
0955-2,2,floor,NN,0
0955-2,2,well,RB,0
0955-2,2,It,PRP,0
0955-2,2,person,NN,0
0955-2,2,without,IN,0
0955-2,2,In,IN,0
0955-2,2,position,NN,0
0955-2,2,the,DT,9
0955-2,2,left,JJ,3
0955-2,2,bending,VBG,0
0955-2,2,just,RB,0
0955-2,2,downwards,NNS,0
0955-2,2,half,NN,0
0955-2,2,got,VBD,0
0955-2,2,foot,NN,0
0955-2,2,shape,NN,0
0955-2,2,Position,NN,0
0955-2,2,yes,RB,0
0955-2,2,praying,VBG,1
0955-2,2,kneeling,VBG,0
0955-2,2,cut,VBD,0
0955-2,2,seems,VBZ,0
0955-2,2,except,IN,0
0955-2,2,spread,VBN,0
0955-2,2,has,VBZ,0
0955-2,2,hat,NN,0
0955-2,2,remaining,VBG,0
0955-2,2,kick,VBP,0
0955-2,2,...,:,0
0955-2,2,big,JJ,0
0955-2,2,showing,NN,0
0955-2,2,possibly,RB,0
0955-2,2,bit,NN,0
0955-2,2,lady,NN,0
0955-2,2,wings,NNS,0
0955-2,2,shoulder,NN,0
0955-2,2,like,IN,2
0955-2,2,shaped,VBN,0
0955-2,2,slouched,VBD,0
0955-2,2,facing,VBG,0
0955-2,2,either,CC,0
0955-2,2,right,NN,3
0955-2,2,duck,NN,0
0955-2,2,some,DT,0
0955-2,2,back,NN,0
0955-2,2,dead,JJ,0
0955-2,2,towards,IN,0
0955-2,2,images,NNS,0
0955-2,2,candle,NN,0
0955-2,2,confusing,JJ,0
0955-2,2,shapes,NNS,0
0955-2,2,for,IN,0
0955-2,2,bottom,NN,0
0955-2,2,crouching,VBG,0
0955-2,2,ice,NN,0
0955-2,2,does,VBZ,0
0955-2,2,?,.,0
0955-2,2,nose,NN,0
0955-2,2,be,VB,0
0955-2,2,pose,VB,0
0955-2,2,zombie,NN,0
0955-2,2,snapped,VBD,0
0955-2,2,by,IN,0
0955-2,2,on,IN,5
0955-2,2,about,IN,0
0955-2,2,ok,NN,0
0955-2,2,getting,VBG,0
0955-2,2,of,IN,0
0955-2,2,graduation,NN,0
0955-2,2,Looks,VBZ,0
0955-2,2,slightly,RB,0
0955-2,2,or,CC,0
0955-2,2,block,NN,0
0955-2,2,raised,VBD,0
0955-2,2,No,DT,0
0955-2,2,image,NN,0
0955-2,2,two,CD,0
0955-2,2,down,RP,1
0955-2,2,her,PRP$,1
0955-2,2,hes,NNS,0
0955-2,2,flying,VBG,0
0955-2,2,long,JJ,0
0955-2,2,start,VB,0
0955-2,2,way,NN,0
0955-2,2,forward,RB,0
0955-2,2,lopsided,JJ,0
0955-2,2,NW,NNP,0
0955-2,2,head,NN,2
0955-2,2,offering,NN,0
0955-2,2,guess,NN,0
0955-2,2,but,CC,0
0955-2,2,reminds,VBZ,0
0955-2,2,skip,VB,0
0955-2,2,might,MD,0
0955-2,2,line,NN,0
0955-2,2,ear,NN,0
0955-2,2,with,IN,6
0955-2,2,penguin,NN,0
0955-2,2,pacman,NN,0
0955-2,2,up,RP,1
0955-2,2,below,IN,0
0955-2,2,'re,VBP,0
0955-2,2,They,PRP,0
0955-2,2,torso,NN,0
0955-2,2,skating,NN,0
0955-2,2,describe,VB,0
0955-2,2,an,DT,0
0955-2,2,'','',0
0955-2,2,as,IN,0
0955-2,2,rolling,VBG,0
0955-2,2,at,IN,0
0955-2,2,prayer,NN,0
0955-2,2,horse,NN,0
0955-2,2,triangles,NNS,0
0955-2,2,again,RB,0
0955-2,2,outstretched,VBD,0
0955-2,2,no,DT,0
0955-2,2,not,RB,0
0955-2,2,other,JJ,0
0955-2,2,holding,VBG,0
0955-2,2,you,PRP,0
0955-2,2,really,RB,0
0955-2,2,picture,NN,0
0955-2,2,Great,JJ,0
0955-2,2,'s,POS,0
0955-2,2,rhombus,NN,0
0955-2,2,kinda,NN,0
0955-2,2,'m,VBP,0
0955-2,2,sides,NNS,0
0955-2,2,upwards,NNS,0
0955-2,2,ghost,NN,0
0955-2,2,alright,JJ,0
0955-2,2,stick,VBP,0
0955-2,3,gown,NN,0
0955-2,3,all,DT,0
0955-2,3,pointing,VBG,0
0955-2,3,hanging,VBG,0
0955-2,3,go,VB,0
0955-2,3,chair,NN,0
0955-2,3,row,NN,0
0955-2,3,cliff,NN,0
0955-2,3,to,TO,7
0955-2,3,tail,NN,0
0955-2,3,sorry,JJ,0
0955-2,3,woman,NN,3
0955-2,3,sitting,VBG,2
0955-2,3,very,RB,0
