gameid,time,roundNum,subA,subB,subC,subD,subE,subF,subG,subH,subI,subJ,subK,subL,trueA,trueB,trueC,trueD,trueE,trueF,trueG,trueH,trueI,trueJ,trueK,trueL,score
4272-e,1459984344115,1,8,11,12,3,2,1,5,4,7,9,10,6,8,11,12,3,2,1,5,4,7,9,10,6,12
4272-e,1459984591162,2,7,4,3,8,12,10,11,1,5,9,6,2,7,4,3,8,12,10,11,1,5,9,6,2,12
4272-e,1459984733078,3,7,2,4,10,6,12,1,3,5,11,9,8,7,2,4,10,6,12,1,3,5,11,9,8,12
4272-e,1459984827694,4,7,2,3,5,4,8,1,9,11,12,10,6,7,2,3,5,4,8,1,9,11,12,10,6,12
4272-e,1459984907461,5,7,9,8,6,3,4,2,1,12,11,5,10,7,9,8,6,3,4,2,1,12,11,5,10,12
4272-e,1459984978292,6,9,5,6,4,10,1,8,11,7,12,2,3,9,5,6,4,10,1,8,11,7,12,2,3,12
0760-a,1459984077279,1,11,8,6,3,1,7,5,2,12,9,4,10,11,1,6,3,10,7,4,12,5,9,2,8,5
0760-a,1459984338760,2,6,1,10,4,2,12,3,7,9,11,8,5,6,1,10,4,2,12,7,8,9,5,11,3,7
0760-a,1459984560282,3,4,6,10,1,3,8,2,12,5,9,11,7,4,6,10,1,3,8,11,5,2,9,12,7,8
0760-a,1459984759858,4,8,3,1,7,12,2,5,4,10,9,6,11,8,3,1,7,12,2,5,6,10,11,9,4,8
0760-a,1459984892979,5,11,5,8,1,7,4,10,6,3,9,12,2,11,5,8,1,10,4,7,2,3,9,12,6,8
0760-a,1459985030757,6,9,11,1,4,6,12,2,3,7,5,8,10,9,6,1,4,2,12,8,3,7,10,5,11,6
2966-7,1459984466689,1,4,7,6,5,12,10,3,2,11,9,8,1,7,6,9,2,4,12,8,11,5,3,10,1,1
2966-7,1459984873585,2,6,2,7,1,8,12,5,9,3,10,11,4,6,5,7,10,8,1,12,2,11,9,3,4,4
2966-7,1459985294185,3,5,3,7,2,1,4,11,8,9,10,6,12,5,3,7,2,1,4,11,10,9,8,6,12,10
2966-7,1459985468830,4,6,5,11,2,12,9,1,10,8,7,4,3,6,5,11,2,12,9,1,7,8,10,4,3,10
2966-7,1459985609903,5,1,9,11,6,12,8,2,10,5,4,3,7,1,9,11,6,12,8,2,10,5,4,7,3,10
2966-7,1459985876324,6,4,1,3,9,6,10,5,2,11,8,12,7,4,1,3,9,6,10,5,2,11,8,12,7,12
3958-1,1459985710207,1,10,3,2,4,6,9,12,8,7,5,1,11,7,3,2,4,12,9,10,8,6,5,1,11,8
3958-1,1459986373202,2,5,9,7,2,6,3,12,4,1,8,11,10,1,9,7,2,12,3,5,4,6,8,11,10,8
3958-1,1459986522031,3,6,10,5,12,7,11,9,1,3,8,4,2,3,10,5,12,4,11,6,1,7,8,9,2,7
3958-1,1459986637859,4,9,4,11,2,1,8,6,10,7,3,12,5,7,10,11,2,4,8,9,6,1,3,12,5,6
3958-1,1459986683542,5,4,2,5,11,8,10,9,7,3,1,12,6,3,10,8,12,5,7,4,6,2,1,11,9,1
3958-1,1459986733850,6,1,4,9,7,5,2,10,12,11,6,8,3,11,8,9,12,7,2,1,10,5,6,4,3,4
5361-f,1459985653317,1,7,2,12,8,1,3,9,6,4,11,5,10,8,2,12,10,1,3,7,9,4,11,6,5,6
5361-f,1459985899638,2,7,2,11,5,1,10,9,12,8,4,3,6,7,9,11,2,1,12,10,4,8,5,3,6,6
5361-f,1459986115552,3,2,10,12,9,4,11,8,1,7,6,3,5,2,8,12,1,4,11,10,6,7,9,5,3,5
5361-f,1459986755654,4,6,3,7,12,1,9,10,2,5,8,4,11,6,2,7,12,1,9,10,8,5,11,3,4,7
5361-f,1459987174556,5,6,12,9,8,11,5,3,7,4,10,1,2,6,2,9,8,11,5,3,10,4,7,12,1,7
5361-f,1459987657329,6,1,9,2,5,8,4,12,3,11,10,7,6,1,9,2,5,8,4,12,10,11,3,7,6,10
4532-0,1459986200828,1,6,2,4,10,5,3,1,7,11,9,12,8,6,5,4,10,8,3,2,7,11,9,1,12,7
4532-0,1459986834540,2,4,8,12,7,5,1,2,3,10,6,9,11,4,8,12,7,5,1,2,3,10,6,9,11,12
4532-0,1459987156563,3,8,6,4,9,12,11,10,2,5,7,3,1,8,6,4,9,12,11,10,2,5,7,3,1,12
4532-0,1459987438752,4,5,8,1,6,9,12,7,11,4,3,2,10,5,8,1,6,9,12,7,11,4,3,2,10,12
4532-0,1459987584884,5,10,8,6,2,4,7,11,9,12,5,1,3,10,8,6,2,4,7,11,9,12,5,1,3,12
4532-0,1459987693610,6,12,7,1,3,2,10,8,5,6,4,9,11,12,7,1,3,2,10,8,5,6,4,9,11,12
6776-3,1459985350826,1,4,8,7,3,6,5,12,1,11,10,2,9,4,9,7,3,10,5,12,1,6,2,8,11,6
6776-3,1459986247682,2,5,8,2,7,3,1,9,4,12,11,10,6,5,8,2,7,3,1,9,4,6,11,10,12,10
6776-3,1459986607801,3,3,7,4,5,1,9,2,8,11,12,10,6,3,7,4,5,11,9,2,8,1,12,10,6,10
6776-3,1459986861128,4,10,12,3,6,8,5,7,1,2,11,9,4,7,12,3,6,2,5,10,1,8,11,9,4,8
6776-3,1459987056741,5,6,1,12,2,3,8,10,9,11,5,4,7,6,1,12,2,11,8,10,9,3,5,4,7,10
6776-3,1459987260055,6,2,10,12,5,11,6,3,8,4,9,7,1,2,10,12,5,4,6,3,8,11,9,7,1,10
3020-e,1459986855070,1,6,5,9,2,10,4,1,3,11,12,7,8,6,5,9,2,10,4,1,3,11,12,7,8,12
3020-e,1459987090808,2,12,2,10,9,3,1,5,6,7,11,4,8,12,2,10,9,3,1,5,6,7,11,4,8,12
3020-e,1459987229186,3,7,5,1,2,6,12,11,8,4,9,3,10,7,5,1,2,6,12,11,8,4,9,3,10,12
3020-e,1459987351736,4,8,3,6,4,9,7,2,5,10,11,1,12,8,3,6,4,9,7,2,5,10,11,1,12,12
3020-e,1459987483597,5,8,2,3,10,6,5,1,4,11,12,9,7,8,2,3,10,6,5,1,4,11,12,9,7,12
3020-e,1459987680713,6,5,1,10,9,11,8,12,7,3,2,6,4,5,1,10,9,11,8,12,7,3,2,6,4,12
7176-e,1459986815315,1,10,4,12,2,11,7,3,8,9,1,6,5,10,4,12,2,11,7,3,6,9,1,8,5,10
7176-e,1459987030461,2,1,11,10,3,7,8,12,9,5,6,2,4,1,11,10,3,7,8,12,9,5,6,2,4,12
7176-e,1459987180415,3,11,9,8,10,3,5,4,1,6,7,2,12,11,9,8,10,3,5,4,1,6,7,2,12,12
7176-e,1459987258405,4,2,9,11,7,8,3,6,1,12,5,10,4,2,9,11,7,8,3,6,1,12,5,10,4,12
7176-e,1459987377332,5,4,12,8,1,10,11,6,3,9,2,5,7,4,12,8,1,10,11,6,3,9,2,5,7,12
7176-e,1459987459010,6,9,8,7,11,10,3,2,1,12,6,4,5,9,8,7,11,10,3,2,1,12,6,4,5,12
3308-d,1459987126142,1,1,5,7,8,6,2,3,12,11,9,4,10,5,6,7,9,4,2,1,12,11,8,3,10,5
3308-d,1459987533065,2,11,10,2,7,9,5,3,8,1,4,6,12,3,10,2,4,9,5,11,6,1,7,8,12,6
3308-d,1459987795886,3,1,4,9,3,12,2,11,5,7,8,6,10,11,12,9,3,4,2,1,6,7,8,5,10,6
3308-d,1459987796179,4,6,4,12,2,8,7,11,1,9,3,10,5,2,8,11,5,6,12,4,9,3,10,1,7,0
3308-d,1459988041126,5,8,12,7,9,11,2,1,4,6,10,3,5,1,11,6,9,12,2,7,3,5,8,4,10,2
3308-d,1459988239927,6,1,11,5,12,8,2,6,9,4,3,10,7,6,8,5,3,11,9,1,10,4,12,2,7,3
4739-3,1459986867356,1,7,9,4,6,5,10,12,1,2,11,3,8,7,5,1,6,4,10,12,9,2,11,3,8,8
4739-3,1459987233277,2,2,5,8,7,1,11,3,4,10,9,12,6,2,1,8,7,3,11,10,9,5,12,4,6,5
4739-3,1459987607562,3,2,12,10,6,11,3,8,7,5,4,1,9,5,10,7,6,11,3,2,12,8,4,1,9,6
4739-3,1459988014931,4,9,1,12,4,3,11,8,5,7,10,6,2,9,1,12,4,8,11,7,3,5,10,6,2,8
4739-3,1459988362317,5,4,8,2,7,12,9,5,10,6,1,3,11,6,4,2,7,12,9,11,10,5,1,8,3,6
4739-3,1459988683678,6,2,12,3,6,5,8,1,7,10,11,4,9,2,1,3,6,5,8,12,7,10,11,4,9,10
0725-d,1459987639390,1,8,10,12,6,11,9,7,2,5,3,1,4,8,2,12,6,11,10,7,9,5,3,1,4,9
0725-d,1459988176891,2,7,11,6,3,9,10,5,12,4,2,8,1,7,5,6,3,9,11,12,10,4,2,8,1,8
0725-d,1459988506926,3,5,8,7,4,9,11,1,12,6,3,10,2,5,1,7,4,9,8,12,11,6,3,10,2,8
0725-d,1459988738436,4,12,1,6,9,10,8,4,2,7,3,5,11,12,4,6,9,10,1,2,8,7,3,5,11,8
0725-d,1459989045974,5,5,9,11,3,6,10,4,12,8,7,2,1,5,4,11,3,6,1,12,10,8,7,2,9,7
0725-d,1459989232109,6,7,6,9,4,5,11,2,3,12,1,8,10,12,2,9,4,5,10,3,11,7,1,8,6,5
